name,online_order,book_table,rate,votes,location,rest_type,dish_liked,approx_cost(for two people),listed_in(city)
"3B's - Buddies, Bar & Barbecues",No,Yes,,1168,BTM,"Casual Dining, Bar","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka",1100.0,Jayanagar
New Taj Darbar,No,No,3.1,6,Whitefield,Quick Bites,,300.0,Whitefield
Bruncherz,No,No,3.5,15,BTM,Quick Bites,,200.0,Koramangala 6th Block
Fork n Dough,No,No,,0,HSR,"Bakery, Quick Bites",,200.0,HSR
What's In A Name,Yes,Yes,4.1,1774,Koramangala 5th Block,Pub,"Cocktails, Chicken Nachos, Pizza, Peri Peri Fries, Hush Puppies, Beer, Tiramisu",1200.0,BTM
#L-81 Cafe,Yes,No,3.9,48,HSR,Quick Bites,Burgers,400.0,HSR
Strategic Timeout Cafe,No,No,,0,BTM,Quick Bites,,300.0,BTM
Dindigul Time Pass Restaurant,Yes,No,3.2,115,HSR,Casual Dining,,700.0,HSR
Healthie,Yes,No,,0,JP Nagar,Delivery,,600.0,Bannerghatta Road
Tempteys,Yes,No,3.7,39,HSR,"Beverage Shop, Dessert Parlor",,500.0,HSR
Food Point,No,No,3.2,167,Whitefield,Casual Dining,"Biryani, Paratha, Tandoori Chicken, Butter Chicken, Dal Makhani",450.0,Brookefield
The Himalayan,No,Yes,4.4,326,Koramangala 5th Block,Casual Dining,"Mocktails, Kimchi, Sushi, Pork Bibimbap, Ginger Tea, Chicken Sizzler, Salads",1200.0,Koramangala 5th Block
Khanapur Express,No,No,,0,JP Nagar,Quick Bites,,500.0,Jayanagar
Al Habibi Restaurant,Yes,No,3.5,17,BTM,Quick Bites,,300.0,BTM
Falooda Cafe,Yes,No,,0,BTM,Quick Bites,,200.0,Koramangala 4th Block
Adyar Ananda Bhavan Sweets,Yes,No,3.6,4,JP Nagar,"Takeaway, Delivery",,200.0,JP Nagar
Rolex Food Palace Restaurant,No,No,3.4,9,HSR,Casual Dining,,850.0,HSR
Panther Cafe,Yes,No,3.5,8,BTM,Beverage Shop,,200.0,Koramangala 4th Block
It's My Meal Food Service,No,No,,0,HSR,Delivery,,300.0,BTM
Azimmo Treat,Yes,No,3.8,43,HSR,Casual Dining,,700.0,Koramangala 4th Block
Basmati Delights,Yes,No,4.0,869,BTM,Delivery,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani",500.0,Bannerghatta Road
Om Made Cafe,No,No,4.1,2734,Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti",1300.0,Koramangala 6th Block
Neer Dosa Fish Land,No,No,3.6,39,BTM,Casual Dining,,600.0,Koramangala 7th Block
Chinese Corner,No,No,,0,BTM,Quick Bites,,300.0,Koramangala 5th Block
Golden Food Palace,No,No,2.9,18,Whitefield,Quick Bites,,450.0,Whitefield
World In A Bowl,Yes,No,,0,JP Nagar,Delivery,,600.0,Bannerghatta Road
Brooks and Bonds Brewery,Yes,Yes,4.5,3996,Koramangala 5th Block,"Casual Dining, Microbrewery","Beef Chilli, Salad, Cocktails, Pizza, Craft Beer, Mango Cider, Potato Wedges",1600.0,Koramangala 7th Block
Goli Vada Pav No. 1,No,No,3.6,39,Indiranagar,Quick Bites,,200.0,Indiranagar
Sly Granny - The Community House,No,Yes,4.5,980,Indiranagar,"Fine Dining, Bar","Cocktails, Pie, Rolls, Mezze Platter, Schnitzel, Pancakes, Eggs Benedict",2500.0,Old Airport Road
Smoke Oil Salt,Yes,No,3.8,21,BTM,Quick Bites,,850.0,Koramangala 6th Block
Spice Code,No,Yes,3.9,165,JP Nagar,Casual Dining,"Fries, Lunch Buffet, Appam, Manchow Soup, Paneer Tikka, Vegetable Stew",1000.0,BTM
Matka,Yes,Yes,3.5,27,HSR,Casual Dining,,700.0,Koramangala 4th Block
The Chocolate Room,Yes,No,3.9,153,JP Nagar,Food Court,"Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche",400.0,Jayanagar
Jonah's,Yes,Yes,4.1,1827,Indiranagar,"Casual Dining, Bar","Pizza, Cocktails, Pasta, Mushroom Soup, Panna Cotta, Mocktails, Sandwich",1100.0,Indiranagar
Malabar Xpress,Yes,No,,0,Koramangala 5th Block,Quick Bites,,300.0,Koramangala 4th Block
Sree Krishna Kafe,Yes,No,3.7,55,Whitefield,Quick Bites,,200.0,Whitefield
Sri Devi Baker's,No,No,3.9,41,BTM,"Bakery, Quick Bites","Ginger Tea, Chai, Coffee",200.0,JP Nagar
Fullyfilled,Yes,No,4.0,48,Indiranagar,Quick Bites,"Momos, Shawarma, Chicken Shawarama",200.0,Indiranagar
Poha House,Yes,No,3.6,6,BTM,Quick Bites,,200.0,BTM
Trippy Paradise,Yes,No,2.6,60,BTM,Cafe,,900.0,BTM
Basmati Restaurant,Yes,No,3.4,23,Whitefield,Quick Bites,,350.0,Whitefield
Stoned Monkey,Yes,No,3.9,240,JP Nagar,Dessert Parlor,"Coffee, Waffles, Hot Chocolate Fudge, Cheesy Garlic Bread",500.0,JP Nagar
Wow Tiffin Food,No,No,,0,Whitefield,Quick Bites,,200.0,Brookefield
Sri Udupi Park,Yes,No,4.0,65,HSR,Casual Dining,Tea,300.0,Koramangala 7th Block
Juice Junction,Yes,No,4.0,138,Koramangala 5th Block,"Beverage Shop, Quick Bites","Fruit Bowl, Grape Juice, Nannari Sharbat, Cheese Sandwich, Tea, Cheese Sandwiches, Orange Juice",150.0,BTM
Aagaman Veg,Yes,No,4.0,558,Indiranagar,Casual Dining,"Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun",900.0,Brigade Road
Cafe Alchemist,Yes,No,3.8,62,BTM,Quick Bites,,300.0,Koramangala 5th Block
Hangout Junction,No,No,3.6,28,Whitefield,Quick Bites,,400.0,Whitefield
The Yellow Tuk-Tuk Cafe,Yes,No,3.6,16,Koramangala 5th Block,Cafe,,500.0,Koramangala 6th Block
Earth Plate Express,Yes,No,3.9,33,JP Nagar,Food Court,,600.0,Jayanagar
Swad 'E' Punjab,Yes,No,3.6,49,HSR,Casual Dining,,500.0,BTM
Chitu's Kitchen,No,No,3.5,11,Indiranagar,Quick Bites,,450.0,MG Road
